,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent
4388,"1/14 FOSTER STREET, ST KILDA",-37.86885452,144.98301697,2.0,1.0,0,$295,none,November 2006,3182,2006,11,KILDA,295
4411,"42/1 ST KILDA ROAD, ST KILDA",-37.8571876,144.9825378,1.0,1.0,1,$380_Week,Unit/apmt,November 2006,3182,2006,11,KILDA,380
5199,"7/12 PAKINGTON STREET, ST KILDA",-37.86569214,144.98716736,2.0,2.0,1,$450,Unit,December 2006,3182,2006,12,KILDA,450
5669,"13/116 INKERMAN STREET, ST KILDA",-37.864749,144.987229,1.0,1.0,1,$185,Rental_residential,December 2006,3182,2006,12,KILDA,185
5686,"2/24 ACLAND STREET, ST KILDA",-37.86486053,144.97648621,2.0,1.0,0,$350,Available Now,November 2006,3182,2006,11,KILDA,350
7029,"2/1 CLIFF AVENUE, STRATHDALE",-36.75572205,144.30984497,2.0,1.0,1,$150,Unit/apmt,November 2006,3550,2006,11,STRATHDALE,150
7322,"2/207 MCIVOR ROAD, STRATHDALE",-36.75861359,144.31510925,2.0,1.0,1,$160,Unit/apmt,November 2006,3550,2006,11,STRATHDALE,160
7536,"6/207 MCIVOR ROAD, STRATHDALE",-36.75861359,144.31510925,2.0,1.0,1,$180,Rental_residential,December 2006,3550,2006,12,STRATHDALE,180
455,"2/2 WARWICKSHIRE COURT, NARRE WARREN",-38.00614548,145.31900024,2.0,1.0,1,$185,Unit,November 2006,3805,2006,11,WARREN,185
690,"10 STRAWBENT RISE, NARRE WARREN",-38.022236,145.297033,3.0,1.0,2,$235,House,November 2006,3805,2006,11,WARREN,235
796,"13 ONYX COURT, NARRE WARREN",-37.998102,145.313889,3.0,1.0,2,$225_Week,House,October 2006,3805,2006,10,WARREN,225
1010,"8 ADELE CLOSE, NARRE WARREN",-38.009181,145.302245,3.0,1.0,0,$190,House,December 2006,3805,2006,12,WARREN,190
1011,"8 ADELE CLOSE, NARRE WARREN",-38.009181,145.302245,3.0,1.0,0,$190_Week,House,November 2006,3805,2006,11,WARREN,190
1808,"79 FLEETWOOD DRIVE, NARRE WARREN",-38.039565,145.313838,3.0,2.0,2,$235,Rental_residential,November 2006,3805,2006,11,WARREN,235
2279,"3 NOBELIUS AVENUE, NARRE WARREN",-38.025088,145.303529,2.0,1.0,2,$190_Week,House,October 2006,3805,2006,10,WARREN,190
5399,"2 DAVIES STREET, NEWPORT",-37.845216,144.887879,3.0,1.0,2,$280_New,none,December 2006,3015,2006,12,NEWPORT,280
5400,"2 DAVIES STREET, NEWPORT",-37.845216,144.887879,3.0,1.0,2,$280_New,none,October 2006,3015,2006,10,NEWPORT,280
5901,"2/81 CHALLIS STREET, NEWPORT",-37.84895,144.872215,2.0,1.0,1,$220_Week,Rental_residential,November 2006,3015,2006,11,NEWPORT,220
