,Year,Postcode,Offence Count
891,2014,3233,157
892,2014,3234,15
893,2014,3235,12
894,2014,3236,5
895,2014,3237,7
896,2014,3238,16
897,2014,3239,26
898,2014,3240,73
899,2014,3241,215
900,2014,3242,38
901,2014,3249,52
902,2014,3250,1193
903,2014,3251,11
904,2014,3254,9
905,2014,3260,218
906,2014,3264,133
907,2014,3265,99
908,2014,3266,115
909,2014,3267,5
910,2014,3268,59
911,2014,3269,29
912,2014,3270,11
913,2014,3271,6
914,2014,3272,90
915,2014,3273,1
916,2014,3274,10
917,2014,3275,12
918,2014,3276,7
919,2014,3277,68
920,2014,3278,8
921,2014,3279,6
922,2014,3280,2554
923,2014,3281,9
924,2014,3282,66
925,2014,3283,35
926,2014,3284,184
927,2014,3285,37
928,2014,3286,10
929,2014,3287,8
930,2014,3289,38
931,2014,3292,15
932,2014,3293,10
933,2014,3294,14
934,2014,3300,950
935,2014,3301,20
936,2014,3302,21
937,2014,3303,14
938,2014,3304,178
939,2014,3305,1209
940,2014,3309,2
941,2014,3310,14
942,2014,3311,103
943,2014,3312,21
944,2014,3314,14
945,2014,3315,95
946,2014,3317,9
947,2014,3318,78
948,2014,3319,12
949,2014,3321,30
950,2014,3322,7
951,2014,3323,6
952,2014,3324,39
953,2014,3325,3
954,2014,3328,13
955,2014,3329,9
956,2014,3330,12
957,2014,3331,116
958,2014,3332,13
959,2014,3333,47
960,2014,3334,14
961,2014,3335,184
962,2014,3336,152
963,2014,3337,4023
964,2014,3338,1339
965,2014,3340,1358
966,2014,3341,35
967,2014,3342,268
968,2014,3345,49
969,2014,3350,6957
970,2014,3351,215
971,2014,3352,593
972,2014,3355,1609
973,2014,3356,1461
974,2014,3357,78
975,2014,3358,35
976,2014,3360,48
977,2014,3361,71
978,2014,3363,160
979,2014,3364,46
980,2014,3370,58
981,2014,3371,55
982,2014,3373,139
983,2014,3374,25
984,2014,3375,12
985,2014,3377,1188
986,2014,3378,1
987,2014,3379,15
988,2014,3380,1647
989,2014,3381,29
990,2014,3384,42
991,2014,3385,16
992,2014,3387,10
993,2014,3388,21
994,2014,3390,36
995,2014,3391,3
996,2014,3392,8
997,2014,3393,162
998,2014,3395,11
999,2014,3396,14
1000,2014,3400,1725
1001,2014,3401,138
1002,2014,3407,17
1003,2014,3409,25
1004,2014,3412,19
1005,2014,3413,6
1006,2014,3414,72
1007,2014,3415,5
1008,2014,3418,110
1009,2014,3419,39
1010,2014,3420,16
1011,2014,3423,37
1012,2014,3424,30
1013,2014,3427,163
1014,2014,3428,41
1015,2014,3429,2179
1016,2014,3430,18
1017,2014,3431,122
1018,2014,3432,16
1019,2014,3433,5
1020,2014,3434,211
1021,2014,3435,99
1022,2014,3437,334
1023,2014,3438,45
1024,2014,3440,63
1025,2014,3441,31
1026,2014,3442,290
1027,2014,3444,693
1028,2014,3446,74
1029,2014,3447,26
1030,2014,3448,37
1031,2014,3450,421
1032,2014,3451,132
1033,2014,3453,179
1034,2014,3458,65
1035,2014,3460,185
1036,2014,3461,110
1037,2014,3462,27
1038,2014,3463,74
1039,2014,3464,51
1040,2014,3465,893
1041,2014,3467,54
1042,2014,3468,37
1043,2014,3469,18
1044,2014,3472,71
1045,2014,3475,20
1046,2014,3477,37
1047,2014,3478,230
1048,2014,3480,79
1049,2014,3482,15
1050,2014,3483,17
1051,2014,3487,6
1052,2014,3488,1
1053,2014,3489,6
1054,2014,3490,69
1055,2014,3491,2
1056,2014,3494,46
1057,2014,3496,413
1058,2014,3498,251
1059,2014,3500,4689
1060,2014,3501,70
1061,2014,3505,345
1062,2014,3506,1
1063,2014,3507,2
1064,2014,3509,4
1065,2014,3512,3
1066,2014,3515,44
1067,2014,3516,253
1068,2014,3517,89
1069,2014,3518,65
