,year,month,address,latitude,longitude,postcode,sa2_2021,sa2_2016,residence_type,nbed,nbath,ncar,min_distance_to_cbd,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
14644,2020,2,"46A MARKET STREET, ESSENDON",-37.7441394,144.9055986,3040,206031501,206031114,House,4.0,1.0,2,10.13172,1.16365,0.51179,1.16471,,,,,550.0
14645,2020,3,"46A MARKET STREET, ESSENDON",-37.7441394,144.9055986,3040,206031501,206031114,House,4.0,1.0,2,10.13172,1.16365,0.51179,1.16471,,,,,550.0
14646,2020,2,"46A MOLYNEAUX STREET, WARRACKNABEAL",-36.252546,142.397495,3393,215011394,215011394,House,3.0,1.0,2,335.22488,2.31088,0.81263,1.78346,0.53742,1.48304,0.6245,,225.0
14647,2020,12,"46B SWAN WALK, CHELSEA",-38.048565,145.120243,3196,208031186,208031186,Apartment,2.0,1.0,1,47.16383,2.27256,0.94144,3.05933,0.92135,,0.67428,,375.0
14648,2020,12,"47 ARBOURLEA BOULEVARD, CRANBOURNE NORTH",-38.0818315,145.3306043,3977,212031559,212031302,House,3.0,2.0,2,50.40013,,0.30462,3.2073,,,,,405.0
14649,2020,1,"47 BARRY STREET, ECHUCA",-36.129918,144.760981,3564,216011406,216011406,House,3.0,1.0,3,212.52659,3.85111,0.46764,2.68873,0.98651,2.85124,1.11252,,300.0
14650,2020,12,"47 BELL STREET, COBURG",-37.742303,144.97364,3058,206011497,206011108,House,5.0,1.0,2,8.41948,0.55371,0.61182,0.54938,,,,,600.0
14651,2020,9,"47 BLAMEY AVENUE, MILL PARK",-37.676392,145.061676,3082,209041221,209041221,House,4.0,1.0,1,21.16095,,0.46004,,,,,,400.0
14652,2020,2,"47 BREESE STREET, BRUNSWICK",-37.761696,144.961555,3056,206011495,206011105,House,3.0,2.0,2,6.595899999999999,0.35918,1.1945899999999998,,0.09633,,0.45275,,750.0
14653,2020,2,"47 BUCKINGHAM DRIVE, ROWVILLE",-37.933133,145.239639,3178,211011258,211011258,House,4.0,1.0,2,33.99544,0.82129,0.32493,,,,,,500.0
14654,2020,3,"47 BUCKINGHAM DRIVE, ROWVILLE",-37.933133,145.239639,3178,211011258,211011258,House,4.0,1.0,2,33.99544,0.82129,0.32493,,,,,,500.0
14655,2020,2,"47 CHARLBURY CRESCENT, CRANBOURNE NORTH",-38.0809114,145.3163638,3977,212031559,212031302,House,5.0,2.0,2,51.67256,,1.48393,2.39033,,,,,550.0
14656,2020,3,"47 CRADDOCK STREET, NORTH GEELONG",-38.127861,144.347432,3215,203021047,203021047,House,3.0,1.0,1,72.03291,0.62336,1.82947,2.77441,1.24704,,,,330.0
14657,2020,5,"47 CRADDOCK STREET, NORTH GEELONG",-38.127861,144.347432,3215,203021047,203021047,House,3.0,1.0,1,72.03291,0.62336,1.82947,2.77441,1.24704,,,,320.0
14658,2020,8,"47 DAISY STREET, HUNTLY",-36.6603158002,144.3491608002,3551,202011025,202011025,House,4.0,2.0,2,164.77558,1.79811,1.90767,11.15252,7.41941,,,,370.0
14659,2020,9,"47 DOMAIN DRIVE, BERWICK",-38.057803,145.330899,3806,212021554,212021294,House,3.0,2.0,2,48.33134,,1.61705,,,,,,450.0
14660,2020,2,"47 DORSET ROAD, MOUNT MARTHA",-38.279716,145.020371,3934,214021382,214021382,House,3.0,2.0,2,79.49915,0.2483,0.97669,,,,,,480.0
14661,2020,3,"47 DORSET ROAD, MOUNT MARTHA",-38.279716,145.020371,3934,214021382,214021382,House,3.0,2.0,2,79.49915,0.2483,0.97669,,,,,,480.0
14662,2020,4,"47 FRANCIS LANE, KENSINGTON",-37.793951,144.918312,3031,206041121,206041121,House,2.0,1.0,1,5.64879,0.50052,1.37704,1.23214,1.54569,,,,475.0
14663,2020,1,"47 GIDDINGS STREET, NORTH GEELONG",-38.117764,144.345215,3215,203021047,203021047,House,3.0,1.0,1,70.94578,0.42357,1.65312,1.27459,1.71849,,,,330.0
14664,2020,5,"47 GORDON STREET, TULLAMARINE",-37.704068,144.876501,3043,210051250,210051250,House,3.0,1.0,4,16.733400000000003,0.7069099999999999,0.6932,,,,,,320.0
