bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price
3.0,2.0,2.0,,1522/555 St Kilda Road Melbourne VIC 3004,-37.8470517,144.9806745,$1400 per week
2.0,2.0,1.0,,5E/635 St Kilda Rd Melbourne VIC 3004,-37.854087,144.9824809,$750
3.0,2.0,1.0,,172/418 St Kilda Road Melbourne VIC 3004,-37.8358416,144.9747364,$700.00
2.0,2.0,1.0,,611/35 Albert Road Melbourne VIC 3004,-37.834695,144.9721117,$600/week
2.0,2.0,1.0,,1219/555 St Kilda Road Melbourne VIC 3004,-37.8470517,144.9806745,$650 per week
2.0,2.0,2.0,,603/469 St Kilda Road Melbourne VIC 3004,-37.8414584,144.9779051,$1100 Per Week
3.0,3.0,2.0,,12A/635-643 St Kilda Road Melbourne VIC 3004,-37.8543122,144.9826011,"$1,500.00"
3.0,2.0,2.0,,809/576 St Kilda Rd Melbourne VIC 3004,-37.8485215,144.9791462,"$1,400"
2.0,2.0,1.0,,711/20 Queens Road Melbourne VIC 3004,-37.8406236,144.9752271,$600 per week
3.0,2.0,2.0,,205/250 St Kilda Road Melbourne VIC 3004,-37.8259182,144.970146,"$1,350"
2.0,2.0,1.0,,111/555 St Kilda Road Melbourne VIC 3004,-37.8470517,144.9806745,$600 per week
3.0,2.0,2.0,,1307/14 Queens Road Melbourne VIC 3004,-37.8389211,144.9749946,$1750 per week
3.0,2.0,2.0,,1906/12 Queens Rd Melbourne VIC 3004,-37.8384194,144.9747126,"$1,650.00"
2.0,2.0,2.0,,321/9 Commercial Road Melbourne VIC 3004,-37.8457061,144.9861842,$550.00
2.0,2.0,1.0,,1909/151 City Road Southbank VIC 3006,-37.8236674,144.9631638,$600.00
2.0,2.0,,,83/285 City Road Southbank VIC 3006,-37.8274177,144.9587959,$500 per week
2.0,2.0,,,2903/70 Southbank Boulevard Southbank VIC 3006,-37.8231931,144.9639881,$650
2.0,2.0,1.0,,2213/60 Kavanagh Street Southbank VIC 3006,-37.82409579999999,144.9636789,$640.00
2.0,2.0,1.0,,2905/250 City Road Southbank VIC 3006,-37.8257343,144.9596645,$600
3.0,2.0,1.0,,3106/63 Whiteman Street Southbank VIC 3006,-37.8260485,144.956843,$800.00
2.0,2.0,,,2602/57-61 City Road Southbank VIC 3006,-37.8220015,144.9658877,$560.00
3.0,2.0,2.0,,7406/70 Southbank Boulevard Southbank VIC 3006,-37.8231931,144.9639881,"$1,150 per week"
2.0,2.0,1.0,,3108/60 Kavanagh Street Southbank VIC 3006,-37.82409579999999,144.9636789,$650 per week *Partially Furnished*
2.0,2.0,,,1705/245 City Road Southbank VIC 3006,-37.826641,144.9596778,$550
2.0,2.0,1.0,,2702/151 City Road Southbank VIC 3006,-37.8236674,144.9631638,$600.00
2.0,2.0,1.0,,1212/151 City Road Southbank VIC 3006,-37.8236674,144.9631638,$600.00
2.0,2.0,,,2704/245 City Road Southbank VIC 3006,-37.826641,144.9596778,$560
3.0,2.0,1.0,,1202/7 Riverside Quay Southbank VIC 3006,-37.8213341,144.9646982,$735 per week
2.0,2.0,1.0,,708/39 Coventry Street Southbank VIC 3006,-37.8294033,144.9692407,$600pw - Spacious! S/cage!
2.0,2.0,1.0,,407/68-70 Dorcas Street Southbank VIC 3006,-37.830621,144.9674907,$550 per week
2.0,2.0,,,1612/70 Southbank Boulevard Southbank VIC 3006,-37.8231931,144.9639881,$550.00
2.0,2.0,2.0,,626/1 Queensbridge Square Southbank VIC 3006,-37.82384,144.9624973,"$1,150 Per Week"
2.0,2.0,1.0,,366/183 City Road Southbank VIC 3006,-37.8247376,144.9617561,$570.00
2.0,2.0,1.0,,1803/70 Dorcas Street Southbank VIC 3006,-37.830541,144.967508,$650 weekly
2.0,2.0,1.0,,"Level 35, 3501/7 Riverside Quay Southbank VIC 3006",-37.8213341,144.9646982,$850 per week.
2.0,2.0,,,2305/245 City Road Southbank VIC 3006,-37.826641,144.9596778,$580
2.0,2.0,,,3606/45 Clarke Street Southbank VIC 3006,-37.8269008,144.9595298,$650
3.0,2.0,2.0,,417/250 St Kilda Road Southbank VIC 3006,-37.8255907,144.9705826,$1800 per week
2.0,2.0,2.0,,6607/7 Riverside Quay Southbank VIC 3006,-37.8213341,144.9646982,$1200 per week
2.0,2.0,,,3908E/18 Hoff Blvd Southbank VIC 3006,-37.825817,144.9640414,$700 per week
2.0,2.0,2.0,,2207/22 Dorcas Street Southbank VIC 3006,-37.830158,144.9696007,$700
2.0,2.0,1.0,,803/60 Dorcas Street Southbank VIC 3006,-37.8304682,144.9679382,$700 per week
3.0,2.0,2.0,,5505/18 Hoff Boulevard Southbank VIC 3006,-37.825817,144.9640414,$1300/week
2.0,2.0,,,705/60 Kavanagh Street Southbank VIC 3006,-37.82409579999999,144.9636789,$560.00
2.0,2.0,,,2503/245 City Road Southbank VIC 3006,-37.826641,144.9596778,$550 per week
3.0,3.0,1.0,,3706/283 City Road Southbank VIC 3006,-37.82730979999999,144.9588705,$850 per week
2.0,2.0,1.0,,2704/8 Kavanagh Street Southbank VIC 3006,-37.8226734,144.9665021,"$1,100"
2.0,2.0,1.0,,1402/63 Whiteman Street Southbank VIC 3006,-37.8260485,144.956843,$1099pw - Stay 1 mth+
3.0,2.0,1.0,,1203/57 City Road Southbank VIC 3006,-37.8220137,144.9659363,"$1,950 per week"
3.0,2.0,1.0,,3101/1 Balston Street Southbank VIC 3006,-37.8250217,144.9615708,$850.00
2.0,2.0,1.0,,3602/1 Balston Street Southbank VIC 3006,-37.8250217,144.9615708,$650.00
2.0,2.0,,,3506/45 Clarke Street Southbank VIC 3006,-37.8269008,144.9595298,$560 per week
2.0,2.0,,,5211/18 Hoff Boulevard Southbank VIC 3006,-37.825817,144.9640414,Contact agent
1.0,2.0,1.0,,5006/7 Riverside Quay Southbank VIC 3006,-37.8213341,144.9646982,$650 per week
3.0,2.0,2.0,,2810/7 Riverside Quay Southbank VIC 3006,-37.8213341,144.9646982,$1100 per week
2.0,2.0,1.0,,3204/283 City Road Southbank VIC 3006,-37.8271443,144.9590486,$700
2.0,2.0,1.0,,2203/70 Dorcas Street Southbank VIC 3006,-37.830541,144.967508,$650.00
