GOOD SAMARITAN CATHOLIC PRIMARY SCHOOL,2494202.328579954,2430815.5948359706
GOOD SHEPHERD SCHOOL,2514602.356789244,2399209.599422437
GOONAWARRA PRIMARY SCHOOL,2478012.3868367434,2435552.030250227
GRASMERE PRIMARY SCHOOL,2283278.946122981,2354458.30720545
GRETA VALLEY PRIMARY SCHOOL,2610581.364670115,2541685.66792967
RINGWOOD HEIGHTS PRIMARY SCHOOL,2519127.6483444446,2410731.1877256
RIPPONLEA PRIMARY SCHOOL,2500444.291381298,2402941.6297462853
SUNSHINE HEIGHTS PRIMARY SCHOOL,2483984.501989524,2412070.660874023
SUNSHINE NORTH PRIMARY SCHOOL,2485656.726926421,2414316.7143576182
SUSSEX HEIGHTS PRIMARY SCHOOL,2509837.6515158536,2401338.709526036
SWAN REACH PRIMARY SCHOOL,2752181.08762234,2405088.2308798926
RICHMOND WEST PRIMARY SCHOOL,2499624.9072024366,2409709.7224225495
TECOMA PRIMARY SCHOOL,2530332.518892514,2399296.135633353
TEMPLESTOWE HEIGHTS PRIMARY SCHOOL,2510515.1935677174,2414855.11753748
LOWER PLENTY PRIMARY SCHOOL,2510181.519643362,2419410.3246051297
NEWSTEAD PRIMARY SCHOOL,2417098.103073889,2487840.762560876
NEWTOWN PRIMARY SCHOOL,2441897.766436904,2372641.4015786387
SAINT GERMAINS PRIMARY SCHOOL,2514818.3345813137,2583838.4608526025
TEETORA PRIMARY SCHOOL,2578143.810675011,2358548.983079509
PERANBIN PRIMARY SCHOOL STRATHBOGIE CAMPUS,2565697.5447415584,2515697.313195316
PERANBIN PRIMARY SCHOOL VIOLET TOWN CAMPUS,2564150.0194722246,2540367.874468548
CRINIGAN ROAD PRIMARY SCHOOL,2624126.3966186256,2363912.7178749675
SPRINGBANK PRIMARY SCHOOL,2416276.50311833,2440541.012267394
WATTLE PARK PRIMARY SCHOOL,2508570.109665557,2406485.5894198716
OMEO PRIMARY SCHOOL,2730447.97588429,2485740.7216968723
MIRRABOOKA PRIMARY SCHOOL,2512897.38017861,2406747.5289119333
SPRING GULLY PRIMARY SCHOOL,2436146.3698927397,2522707.4880361874
ORRVALE PRIMARY SCHOOL,2539509.842851315,2565327.879201906
OSBORNE PRIMARY SCHOOL,2503580.9616264417,2360483.281807984
OSBORNES FLAT PRIMARY SCHOOL,2669930.3028335487,2574076.7645468134
CROYDON SOUTH PRIMARY SCHOOL,2524543.862095002,2409384.1192633463
DIMBOOLA PRIMARY SCHOOL,2233862.2047200245,2556502.5626584627
GIRGARRE EAST PRIMARY SCHOOL,2506337.3252234594,2560794.5290016793
GISBORNE PRIMARY SCHOOL,2463607.499921954,2445452.194758935
TULLIALLAN PRIMARY SCHOOL,2528719.8750448544,2379917.329217133
WYNDHAM VALE PRIMARY SCHOOL,2465663.6438266886,2400545.9848679127
NIDDRIE PRIMARY SCHOOL,2489284.063718332,2418890.2560760006
NILMA NORTH PRIMARY SCHOOL,2586415.1502580075,2373146.6765393894
NOBLE PARK PRIMARY SCHOOL,2515280.888416294,2392270.182919468
NOORINBEE PRIMARY SCHOOL,2868401.1689099832,2434635.5446220115
