,Unnamed: 0,bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price,distance_to_city,weekly_rent
1041,1041,4.0,2.0,2.0,,11 Outrigger Court Point Cook VIC 3030,-37.9038092,144.7772971,$550 Per Week,19.1957,550.0
1042,1042,3.0,2.0,2.0,,9 Carly Terrace Werribee VIC 3030,-37.8950506,144.669471,$395,27.502,395.0
1043,1043,4.0,2.0,2.0,,21 Tackle Drive Point Cook VIC 3030,-37.90613250000001,144.720295,$400 p.w.,23.7789,400.0
1044,1044,3.0,2.0,1.0,,9 Fiona Court Werribee VIC 3030,-37.8892543,144.65948280000003,$365.00,28.1502,365.0
1045,1045,4.0,2.0,2.0,,27 Hourigan Way Werribee VIC 3030,-37.91568360000001,144.6283333,$435,31.666999999999998,435.0
1046,1046,4.0,2.0,2.0,,33 Applebox Circuit Point Cook VIC 3030,-37.9078925,144.7308419,$565,23.0218,565.0
1047,1047,3.0,3.0,2.0,,134 Malibu Boulevard Point Cook VIC 3030,-37.8996232,144.73900780000002,$450 PW,21.9827,450.0
1048,1048,4.0,2.0,2.0,,14 Davern Court Werribee VIC 3030,-37.87125800000001,144.65564640000005,$500,27.986,500.0
1049,1049,4.0,2.0,2.0,,19 Wylie Way Point Cook VIC 3030,-37.8964401,144.7231198,$500 per week,23.125999999999998,500.0
1050,1050,4.0,2.0,2.0,,65 Bondi Parade Point Cook VIC 3030,-37.9057243,144.7740133,$420 per week,19.552,420.0
1051,1051,4.0,2.0,2.0,,23 Arbour Avenue Point Cook VIC 3030,-37.91102670000001,144.73738480000003,$550 per week,22.662,550.0
1052,1052,3.0,2.0,2.0,,92 Boardwalk Boulevard Point Cook VIC 3030,-37.8834979,144.73273380000003,$390.00 per week,21.8254,390.0
1053,1053,5.0,3.0,2.0,,6 Feijoa Court Werribee VIC 3030,-37.89358860000001,144.6677562,$495.00 per week,27.5955,495.0
1054,1054,4.0,2.0,2.0,,11 Aruba Avenue Point Cook VIC 3030,-37.9099865,144.741984,$460,22.2498,460.0
1055,1055,3.0,2.0,1.0,,22 Gardener Drive Point Cook VIC 3030,-37.90611699999999,144.7229053,$400,23.5694,400.0
1056,1056,3.0,2.0,2.0,,21 Neptune Drive Point Cook VIC 3030,-37.87928429999999,144.7331587,$400,21.6385,400.0
1057,1057,2.0,2.0,1.0,,6/5-6 Trinca Court Werribee VIC 3030,-37.9043581,144.66851200000005,$340,27.9198,340.0
1058,1058,3.0,2.0,2.0,,71 Aquatic Drive Werribee South VIC 3030,-37.96161970000001,144.70674240000002,$400 p.w.,27.8802,400.0
1059,1059,4.0,3.0,2.0,,41 Gershwin Street Point Cook VIC 3030,-37.8796545,144.71818000000005,$415.00 per week,22.9042,415.0
1060,1060,4.0,2.0,2.0,,49 Middle Park Drive Point Cook VIC 3030,-37.8992797,144.7583257,$430,20.4315,430.0
1061,1061,5.0,2.0,2.0,,16 Sienna Place Point Cook VIC 3030,-37.8962228,144.75062240000003,$520 per week,20.8972,520.0
1062,1062,4.0,2.0,2.0,336.0,11 Torrington Street Point Cook VIC 3030,-37.9098997,144.747348,$465 per week,21.8277,465.0
1063,1063,4.0,2.0,2.0,,20 Battery Road Point Cook VIC 3030,-37.8859235,144.7117334,$440 pw,23.658,440.0
1065,1065,3.0,2.0,2.0,,67 Baltimore Drive Point Cook VIC 3030,-37.8826847,144.73240790000003,$485 PER WEEK,21.8225,485.0
1066,1066,4.0,2.0,2.0,,68 Dawley Circuit Werribee VIC 3030,-37.9116405,144.6037841,$380 Per Week,33.5599,380.0
1067,1067,2.0,2.0,1.0,,19 Quay Boulevard Werribee South VIC 3030,-37.9650846,144.7055636,$350 per Week,28.1869,350.0
1068,1068,3.0,2.0,2.0,,1 Signature Boulevard Sanctuary Lakes VIC 3030,-37.8911259,144.7731548,$520 PER WEEK,18.8635,520.0
1069,1069,3.0,2.0,4.0,500.0,20 Deutgam Street Werribee VIC 3030,-37.9082289,144.6559679,$480 per week,29.1025,480.0
1070,1070,5.0,3.0,2.0,,21 Torrington Street Point Cook VIC 3030,-37.9100481,144.7477473,$600 per week,21.8045,600.0
1071,1071,5.0,2.0,2.0,580.0,4 Marrang Way Point Cook VIC 3030,-37.91717970000001,144.78637890000005,$550 pw,19.3159,550.0
1072,1072,3.0,2.0,2.0,,17 Kasem Drive Werribee VIC 3030,-37.8799725,144.652796,$450 per week,28.4485,450.0
